Username,Konten,Lokasi
VikohRofikoh,"“Jadi manajemen sampah di Al-Jabbar sudah ada jadwal-jadwalnya. Yang perlu itu diimbau pengunjungnya untuk membuang sampah pada tempatnya,” ujarnya (Ridwan Kamil).
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"“Kata siapa banyak sampah? memang ada jadwalnya (pengangkutan sampah). Misalkan jadwal angkut jam 12.00 ya ada sampahnya dari pengunjung (jam) 11.00,” kata Kang Emil (Ridwan Kamil).
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Terkait hal itu, Gubernur Jawa Barat Ridwan Kamil angkat bicara. Dia membantah banyak sampah. Bahkan, dia menyebut jadwal pengangkut sampah sudah berjalan baik. 
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"Ridwan Kamil menuturkan, yang harus dibenahi yakni sikap pengunjung membuang sampah tidak pada tempatnya. 
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Permasalahan banyaknya sampai di Masjid Al-Jabbar sempat mendapat sorotan. Sorotan itu mencuat setelah beredarnya video di media sosial memperlihatkan sampah berserakan di kolam dan area masjid tersebut. 
#BersamaJuara 
Ridwan Kamil
#AlJabbar","Central Borneo,Indonesia"
VikohRofikoh,"“Kata siapa banyak sampah? memang ada jadwalnya (pengangkutan sampah). Misalkan jadwal angkut jam 12.00 ya ada sampahnya dari pengunjung (jam) 11.00,” kata Kang Emil (Ridwan Kamil).
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Ridwan Kamil soal Banyak Sampah di Masjid Al-Jabbar: Ada Jadwal Pengangkutan
#BersamaJuara https://t.co/iB229jTdVr","Central Borneo,Indonesia"
VikohRofikoh,"Terkait hal itu, Gubernur Jawa Barat Ridwan Kamil angkat bicara. Dia membantah banyak sampah. Bahkan, dia menyebut jadwal pengangkut sampah sudah berjalan baik. 
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Permasalahan banyaknya sampai di Masjid Al-Jabbar sempat mendapat sorotan. Sorotan itu mencuat setelah beredarnya video di media sosial memperlihatkan sampah berserakan di kolam dan area masjid tersebut. 
#BersamaJuara 
Ridwan Kamil
#AlJabbar","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Ridwan Kamil soal Banyak Sampah di Masjid Al-Jabbar: Ada Jadwal Pengangkutan
#BersamaJuara https://t.co/jOR8FHpnEx","Brebes, Jawa Tengah Indonesia"
adrianarukminto,Tak sedikit para wisatawan yang datang ke masjid ini mengabadikan moment keindahan di sekitar masjid ataupun taman dengan berswafoto. #BersamaJuara Ridwan Kamil,"Jakarta, Indonesia"
adrianarukminto,Mereka sengaja datang ke Masjid Raya Al Jabbar untuk melihat kemegahan dan keindahan dari masjid terbesar di Jawa barat ini. #BersamaJuara Ridwan Kamil,"Jakarta, Indonesia"
adrianarukminto,Sejak Sabtu (18/2/2023) para wisatawan dari berbagai daerah mulai berdatangan dan memadati kawasan Masjid Raya Al Jabbar ini. #BersamaJuara Ridwan Kamil,"Jakarta, Indonesia"
adrianarukminto,"Mereka memanfaatkan libur Isra Miraj kali ini untuk melihat kemegahan masjid yang baru diresmikan oleh Gubernur Jawa Barata, Ridwan Kamil pada akhir tahun 2022. #BersamaJuara Ridwan Kamil","Jakarta, Indonesia"
adrianarukminto,"Libur Isra Miraj, Wisatawan Banyak yang Berkunjung ke Masjid Al Jabbar
https://t.co/cty5vRHARV
#BersamaJuara Ridwan Kamil https://t.co/gnQoLY0CEG","Jakarta, Indonesia"
dheaputrinabila,"""Berita baiknya, otoritas haji Saudi sudah mengizinkan Kertajati sudah lolos untuk dijadikan embarkasi keberangkatan seiring dengan insya Allah dalam waktu dekat (Tol) Cisumdawu juga akan diresmikan Presiden karena sudah selesai,"" jelas Ridwan Kamil.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"""Dan Jabar menjadi berkepentingan karena jumlah jamaah haji terbesar di Indonesia ini ada di Jabar,"" ucap Emil.

Emil (Ridwan Kamil) juga menyampaikan kabar baik soal kesiapan Bandara Kertajati sebagai embarkasi keberangkatan jemaah haji tahun ini.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Pasalnya, Jabar merupakan penyumbang jemaah haji terbesar se-Indonesia. Berdasarkan data Kementerian Agama, pada 2022, Jawa Barat mendapat kuota sebanyak 17.679 dari sekitar 100.000 jemaah se-Indonesia.
#BersamaJuara 
Ridwan Kamil
#haji 
#jabar","Central Borneo,Indonesia"
VikohRofikoh,"""Berita baiknya, otoritas haji Saudi sudah mengizinkan Kertajati sudah lolos untuk dijadikan embarkasi keberangkatan seiring dengan insya Allah dalam waktu dekat (Tol) Cisumdawu juga akan diresmikan Presiden karena sudah selesai,"" jelas Ridwan Kamil.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"""Kita hormati saja sambil dalam perjalanannya kalau ada komponen-komponen yang bisa kalau menurut saya lebih murah mari kita revisi dalam perjalanannya,"" kata dia (Ridwan Kamil).

Emil menuturkan, Jawa Barat punya kepentingan besar terkait isu tersebut.
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"""Dan Jabar menjadi berkepentingan karena jumlah jamaah haji terbesar di Indonesia ini ada di Jabar,"" ucap Emil.

Emil (Ridwan Kamil) juga menyampaikan kabar baik soal kesiapan Bandara Kertajati sebagai embarkasi keberangkatan jemaah haji tahun ini.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"""...Intinya aspirasi rakyat agar semurah murahnya tapi realistis tentunya menjadi perbincangan di sana, sehingga angka ongkos haji ini meyakini sudah dihitung agar keterjangkauannya menjadi sebuah keputusan,"" tutur Emil (Ridwan Kamil).
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"Pasalnya, Jabar merupakan penyumbang jemaah haji terbesar se-Indonesia. Berdasarkan data Kementerian Agama, pada 2022, Jawa Barat mendapat kuota sebanyak 17.679 dari sekitar 100.000 jemaah se-Indonesia.
#BersamaJuara 
Ridwan Kamil
#haji 
#jabar","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Gubernur Jawa Barat Ridwan Kamil mengapresiasi upaya pemerintah pusat dan DPR yang telah menetapkan rata-rata biaya haji tahun 2023. Namun, ia berharap ongkos naik haji bisa lebih murah.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Ridwan Kamil Harap Ongkos Naik Haji Bisa Lebih Murah
#BersamaJuara https://t.co/dKjHy7Tctm","Central Borneo,Indonesia"
VikohRofikoh,"""Kita hormati saja sambil dalam perjalanannya kalau ada komponen-komponen yang bisa kalau menurut saya lebih murah mari kita revisi dalam perjalanannya,"" kata dia (Ridwan Kamil).

Emil menuturkan, Jawa Barat punya kepentingan besar terkait isu tersebut.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"""...Intinya aspirasi rakyat agar semurah murahnya tapi realistis tentunya menjadi perbincangan di sana, sehingga angka ongkos haji ini meyakini sudah dihitung agar keterjangkauannya menjadi sebuah keputusan,"" tutur Emil (Ridwan Kamil).
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Gubernur Jawa Barat Ridwan Kamil mengapresiasi upaya pemerintah pusat dan DPR yang telah menetapkan rata-rata biaya haji tahun 2023. Namun, ia berharap ongkos naik haji bisa lebih murah.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Ridwan Kamil Harap Ongkos Naik Haji Bisa Lebih Murah
#BersamaJuara https://t.co/YRxRHV7seQ","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"""... tahu program beliau hari ini supaya programnya berkelanjutan. Kalau berkelanjutan kan jadi manfaat buat masyarakat. Saya intens (diskusi) dengan Pak Emil (Ridwan Kamil), masalah politik, pembangunan, rotasi mutasi juga,"" jelasnya. 
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Uu mengatakan, Emil (Ridwan Kamil) ingin pemimpin Jabar selanjutnya yang memahami dan melanjutkan program yang sudah dibuat selama lima tahun kepemimpinannya.
#BersamaJuara","Central Borneo,Indonesia"
