Judul,Konten
"Sekjen PAN Bela Ridwan Kamil: Masjid Diperhatikan, Program Lain Juga",Sekjen PAN Eddy Soeparno menilai Ridwan Kamil terbuka menerima masukan dari berbagai pihak dan selalu siap berdiskusi menyampaikan rasionalisasi.
Linimasa Wajah Masjid Al Jabbar Rancangan RK yang Disorot Netizen,"Masjid Al Jabbar mengubah wajah kawasan Cimincrang, yang awalnya kampung di tengah persawahan menjadi sasaran pelancong dari berbagai daerah."
RK Diminta Hati-hati Keluarkan Pernyataan soal Bantuan Rp 1 T ke NU,Polemik klaim bantuan dari Ridwan Kamil (RK) ke NU Jawa Barat sebesar Rp 1 triliun selama menjabat sebagai gubernur rupanya belum selesai mendapat sorotan.
Jabar Hari Ini: Geger Sejoli Mesum di Teras Cihampelas Bandung,"Aksi sejoli mesum di Teras Cihampelas, Kota Bandung, menjadi topik utama dalam rubrik Jawa Barat (Jabar) hari ini."
"Heboh Masjid Al Jabbar Dibangun Pakai APBD, Ridwan Kamil Dicolek",Penggunaan anggaran pemerintah daerah untuk membangun tempat ibadah sebetulnya sah-sah saja. Bagaimana dengan Masjid Al Jabbar?
Infografis: 6 Secret of Happiness Ala Ridwan Kamil,Gubernur Jawa Barat Ridwan Kamil memberikan secuil rahasia kebahagiaan. Bisa diingat saat mulai lelah menjalani hidup dan butuh motivasi ya detikers...
Ridwan Kamil Diminta Tak Baper soal Kritikan tentang Masjid Al Jabbar,PKS Jawa Barat merespons adu argumen Ridwan Kamil (RK) dengan netizen soal Masjid Al Jabbar yang viral di media sosial.
Menelisik Penyebab Ridwan Kamil Batal Berseragam Partai di 2022,Guru besar ilmu politik Universitas Padjajaran (Unpad) Muradi turut menyoroti batalnya Gubernur Jawa Barat Ridwan Kamil (RK) berseragam partai di tahun 2022.
Survei Cawapres 2024 Indikator Politik: Ridwan Kamil Teratas,"Hasil sigi Indikator Politik menunjukkan elektabilitas Ridwan Kamil menang telak, disusul Sandiaga Uno dan Agus Harimurti Yudhoyono (AHY)."
"Siswa Dilarang Bawa Latto-latto ke Sekolah di Daerah Ini, Kenapa Ya?",Viralnya permainan latto-latto membuat Disdik Kabupaten Pesisir Barat keluarkan surat edaran ini. Apa isinya?
Berapa APBD Jabar yang Dipakai buat Bangun Masjid Al Jabbar?,Masjid Raya Al Jabbar belum henti-hentinya jadi bahan perbincangngan semenjak diresmikan.
Ridwan Kamil Respons Kritik di Medsos soal Masjid Al Jabbar Pakai APBD,Pembangunan Masjid Al Jabbar dikritik di media sosial lantaran menggunakan APBD. Gubernur Jabar Ridwan Kamil merespons kritik itu.
"Proyek Jembatan Jatijajar Molor, Walkot Depok: Bisa Diperpanjang","Proyek Jembatan Jatijajar, Depok, molor dari target. Walkot Depok Mohammad Idris mengatakan penyelesaian proyek itu bisa diperpanjang hingga akhir Januari 2023."
"Survei Capres Indikator Politik: Tren Ganjar dan Prabowo Naik, Anies Stagnan","Indikator merilis hasil survei elektabilitas sosok-sosok potensial capres. Survei terbaru, elektabilitas Ganjar dan Prabowo naik, sedangkan Anies stagnan."
Adu Argumen Netizen Vs RK soal Masjid Al Jabbar hingga Viral di Medsos,Gubernur Jabar Ridwan Kamil adu argumen dengan seorang netizen terkait pembangunan Masjid Al Jabbar.
Aksi Mesum Sejoli yang Nodai Misi Kebangkitan Teras Cihampelas,Pemkot Bandung tengah mengupayakan kebangkitan Teras Cihampelas. Namun misi bangkit ini dinodai aksi sejoli mesum di Teras Cihampelas.
"Masjid Al Jabbar Dibangun Pakai APBD, Pengamat: Tidak Tepat!","""Kan banyak juga kan daerah di Jawa Barat yang belum terjangkau karena jalannya atau aksesnya buruk kan bisa ke sana uangnya, akan lebih bermanfaat,"""
"Proyek Underpass Dewi Sartika Depok Rampung, Akan Diresmikan RK","Proyek underpass di Jalan Dewi Sartika, Depok, telah selesai dikerjakan. Underpass dapat digunakan warga setelah diresmikan Gubernur Jabar Ridwan Kamil."
Bolehkah APBD Dipakai Bangun Tempat Ibadah Seperti Masjid Al Jabbar?,Bolehkah anggaran pemerintah digunakan untuk membangun tempat ibadah? Seperti apa aturannya?
Heboh Ridwan Kamil Vs Netizen: Masjid Al Jabbar Dibangun Pakai APBD,Masjid Raya Al Jabbar belum berhenti jadi sorotan semenjak diresmikan. Kali ini sorotan ditujukan pada pembiayaan pembangunan masjid.
Ormas Islam Minta RK Jelaskan Lagi soal Bantuan Rp 1 T ke NU,Forum Silaturahmi Ormas Islam Jawa Barat meminta agar Ridwan Kamil menjelaskan soal bantuan Rp 1 triliun kepada NU.
Tarik Ulur Langkah Politik RK hingga Batal Berseragam Partai di 2022,"Ridwan Kamil dipastikan batal bergabung dengan partai politik di tahun 2022. Padahal, dia sempat berjanji akan mengumumkan pelabuhan politiknya di akhir 2022."
"Baru Diresmikan, Masjid Raya Al Jabbar Bandung Punya Masalah Serius... Sampah",Kemacetan akibat akses sempit jadi satu dari sekian masalah serius Masjid Al Jabbar Bandung. Sampah akibat ulah traveler juga menjadi yang berikutnya.
"Pandawara Group, Lima Sahabat Menerjang Sungai demi Pungut Sampah",Aksi Pandawara dengan membuat konten bersih-bersih sungai banyak mendapat apresiasi dari berbagai kalangan. Mereka dianggap mampu menginspirasi.
"6 Secret of Happiness ala Ridwan Kamil, Ternyata Sederhana!",Ridwan Kamil membagikan secret of happinessnya melalui unggahan Reels Instagram. Apa saja ya?
Deretan Fasilitas yang Viral Jadi 'Kolam Renang Dadakan' di Jabar,"Bukan cuma kolam di Masjid Al-Jabbar, kolam-kolam di berbagai tempat di Jabar ini pun kerap dijadikan tempat berenang oleh warga, khususnya anak atau bocil."
Macet dan Sampah Jadi Masalah di Sekitar Masjid Al Jabbar,"Kawasan Gedebage, Kota Bandung kerap dilanda macet imbas dibukanya Masjid Raya Al Jabbar. Kondisi itu mulai dikeluhkan warga sekitar."
PPP dan Sandiaga Dinilai Saling Membutuhkan untuk Pilpres 2024,"Menurut Adi, jika Sandiaga gabung PPP maka posisi tawarnya jauh lebih kuat karena ada partai yang siap pasang badan untuk mengusung maju Pilpres 2024."
"Lagi Viral, Ternyata Lato-lato Sudah Dijual dari November 2022","Ternyata lato-lato ini sudah mulai dipasarkan sejak November 2022. Hal ini diungkapkan oleh salah satu penjual grosir lato-lato di Pasar Asemka, Jakarta Barat."
"Berburu Cuan dari Jualan Lato-lato, Kini Jadi Kerjaan Sampingan","Lato-lato sedang viral dan digandrungi oleh berbagai usia, dari anak-anak hingga dewasa. Alhasil, banyak orang mulai mengejar cuan dari jualan lato-lato."
Masalah di Balik Kemegahan Masjid Al Jabbar,"Peresmian Masjid Al Jabbar menyedot perhatian masyarakat, mereka berbondong-bondong mendatangi masjid tersebut. Sayangnya muncul beberapa masalah."
Jabar Hari Ini: Heboh Kolam Masjid Al Jabbar Dipakai Pengunjung Berenang,"Beragam peristiwa terjadi di Jabar hari ini,  mulai kasus dugaan pemukulan yang dilakukan bupati Pangandaran hingga warga berenang di kolam Masjid Al Jabbar."
"Kolam Masjid Raya Al-Jabbar Buat Renang Bocil, Masjid di Sukabumi Juga",Viral kolam Masjid Raya Al-Jabbar di Bandung dipakai buat main air dan berenang bocil. Situasi yang sama juga pernah dialami oleh Masjid Agung Kota Sukabumi.
Kata Ridwan Kamil soal Kolam Masjid Al-Jabbar Dipakai Warga Berenang,"Kolam yang ada di kawasan Masjid Raya Al-Jabbar, Provinsi Jawa Barat, di Gedebage, Kota Bandung dijadikan tempat bermain air oleh pengunjung."
Ridwan Kamil Siapkan Akses Baru ke Masjid Al Jabbar,"Gubernur Jabar Ridwan Kamil akan menyiapkan akses baru menuju Masjid Al Jabbar di Gedebage, Kota Bandung. Tujuannya agar lalu lintas tak lagi semrawut."
"Viral Kolam Masjid Raya Al Jabbar Buat Renang Bocil, Ini Kata Ridwan Kamil","Kolam air di kawasan Masjid Raya Al-Jabbar viral jadi tempat main dan berenang bocil-bocil. Gubernur Jawa Barat, Ridwan Kamil pun buka suara."
"Heboh Kolam Masjid Al Jabbar Dipakai Renang, Ridwan Kamil Buka Suara",Kolam di kawasan Masjid Raya Al Jabbar dijadikan tempat bermain air. Gubernur Jabar Ridwan Kamil menyebut pihaknya mengambil sejumlah langkah mengenai hal itu.
"Kolam Masjid Al-Jabbar Dipakai Renang Warga, Ini Kata Ridwan Kamil",Gubernur Jabar Ridwan Kamil tidak akan tinggal diam melihat kolam di area Masjid Al Jabbar dijadikan tempat berenang oleh pengunjung.
Kolam di Masjid Al Jabbar Malah Dipakai Warga untuk Berenang,"Gubernur Ridwan Kamil beberapa hari lalu meresmikan Masjid Raya Al Jabbar. Namun, area kolam dekat tempat wudu dijadikan anak-anak sebagai area berenang."
Saran Pakar Agar Akses ke Masjid Al Jabbar Tak Lagi Semrawut,"Akses masuk dan keluar Masjid Raya Al-Jabbar, Provinsi Jawa Barat semrawut. Akses jalan yang sempit membuat kemacetan di kawasan itu tak terhindarkan."
Mengintip Resolusi 2023 Para Tokoh Bangsa,Awal Tahun 2023 telah dimulai. Sederet tokoh bangsa pun menyampaikan resolusinya di tahun ini. Apa saja resolusi mereka?
Jabar Sepekan: Aksi Ngeri Kakek Bunuh Cucu di Tasikmalaya,"Ragam peristiwa terjadi dalam sepekan di Jabar, mulai dari kakek bunuh cucu di Tasikmalaya hingga wanita 'smackdown' seorang nenek di Cianjur."
"Resolusi 2023 Ridwan Kamil: Sedikit Berita Buruk, Banyak Berita Baik",Ridwan Kamil mengaku menginginkan tahun ini lebih banyak berita baik ketimbang berita buruk.
Terpopuler Sepekan: Sejarah Mainan Latto-latto hingga Kota Terdingin di Dunia,Viralnya mainan latto-latto di berbagai wilayah hingga fakta kota terdingin di dunia mewarnai sepekan artikel terpopuler detikEdu. Ini rangkumannya.
Tangis Raffi Ahmad saat Mami Popon Meninggal Dunia,Tangis Raffi Ahmad saat Mami Popon meninggal dunia. Seperti apa?
Menguak Hukum Newton di Balik Mainan Viral Lato-lato,Mainan lato-lato tengah digandrungi masyarakat. Anak-anak sampai orang dewasa memainkannya. Ternyata ada hukum fisika Newton di balik cara kerjanya.
Resolusi Ridwan Kamil di 2023: Mudah-mudahan Sedikit Berita Buruk,"Gubernur Jabar Ridwan Kamil memiliki resolusi untuk tahun 2023. Ia menginginkan agar di tahun 2023, lebih banyak berita baik, ketimbang buruk."
"Soal Kabar Tsunami di Pantai Selatan, Ridwan Kamil Pastikan Hoaks",Gubernur Jabar Ridwan Kamil memastikan informasi soal prediksi tsunami di pantai selatan merupakan berita bohong atau hoaks.
"Sampah Sempat Kotori Masjid Al Jabbar, Ridwan Kamil: Jangan Diulangi!",Gubernur Jabar Ridwan Kamil mengimbau agar masyarakat menjaga kebersihan Masjid Raya Al Jabbar.
"PPKM Dicabut, Ridwan Kamil Minta Warga Tetap Tertib Rayakan Tahun Baru",Gubernur Jabar Ridwan Kamil meminta warga tetap waspada dalam merayakan tahun baru meski PPKM telah dicabut pemerintah.
"8 Rekomendasi Tempat Tahun Baruan di Bandung, Incaran Warga dan Wisatawan",Rekomendasi tempat tahun baruan yang biasanya jadi incaran warga maupun wisatawan untuk menghabiskan momen pergantian tahun. Dimana saja?
"Zulhas Doakan Ridwan Kamil Pimpin Indonesia, Kode Pillpres 2024?",Menteri Perdagangan Zulkifli Hasan mendoakan Gubernur Jabar Ridwan Kamil menjadi pemimpin Indonesia. Zulhas mengaku jatuh cinta dengan gaya kepemimpinan RK.
Ini Inspirasi Arsitektur Masjid Al Jabbar yang Didesain-Diresmikan Ridwan Kamil,Kemegahan Masjid Al Jabbar yang baru diresmikan Gubernur Jawa Barat Ridwan Kamil ternyata menyimpan inspirasi yang mendalam pada desain bangunannya.
Upaya Penyelamatan Sungai Citarum yang Mulai Membuahkan Hasil,Gubernur Jawa Barat Ridwan Kamil selaku Komandan Satgas Citarum Harum telah menyampaikan sejumlah keberhasilan yang diraih untuk memulihkan Sungai Citarum.
Kemegahan Masjid Al Jabbar yang Perlu Ditunjang Akses Jalan Mumpuni,Gubernur Jabar Ridwan Kamil telah meresmikan Masjid Raya Al Jabbar. Akses jalan menuju masjid pun menjadi sorotan.
"Ridwan Kamil Resmikan Masjid Al Jabbar, Terinspirasi dari Rumus Matematika","Pemprov Jabar meresmikan Masjid Raya Al Jabbar di Kecamatan Gedebage, Kota Bandung. Gubernur Jabar Ridwan Kamil bercerita tentang makna desain Masjid Al Jabbar."
Kemegahan dan Keindahan Masjid Al Jabbar yang Diresmikan Ridwan Kamil,"Pemprov Jabar meresmikan Masjid Raya Al Jabbar di Kecamatan Gedebage, Kota Bandung. Kegiatan itu dihadiri banyak tamu undangan."
"7 Fakta Masjid Al Jabbar, Mulai dari Awal Pembangunan Hingga Hari Ini Diresmikan","Masjid Al Jabbar memiliki beragam fakta menarik, mulai dari anggaran pembangunan, arsitektur masjid, hingga fasilitas yang ada di dalamnya."
"5 Duet Capres-Cawapres Favorit detikers di The Matchmaker, Kamu Pilih Siapa?",Lebih dari 3 ribu detikers sudah ikutan The Matchmaker untuk memilih dan menjodohkan capres-cawapres favorit. Ini hasil sementara 1-29 Desember 2022.
"Masjid Raya Al Jabbar Bandung Diresmikan Hari Ini, Sekaligus Sholat Jumat Perdana","Masjid Raya Al Jabbar diresmikan Gubernur Jawa Barat Ridwan Kamil pada hari ini, Jumat (30/12/2022) agar sekaligus dapat digunakan untuk sholat Jumat perdana."
"Latto-latto Viral, Anak 90-an Masih Ingat 10 Mainan Jadul Ini Nggak?","Permainan jaman dulu (jadul) latto-latto kembali viral. Selain latto-latto, masih ingat mainan jadul lainnya?"
"Jelang Diresmikan, Masjid Al Jabbar Ramai Dipadati Undangan","Tamu undangan berbondong-bondong menuju Masjid Raya Al-Jabbar jelang peresmian bangunan rancangan Ridwan Kamil itu, Jumat (30/12/2022)."
Lato-lato Mainan Viral Ada Hukum Fisikanya Loh,"Latto-latto mendadak viral dan digandrungi. Yang menarik, mainan tradisional ini ternyata bisa untuk belajar Hukum Fisika loh."
Jabar Hari Ini: Wanita Muda di Cianjur Smackdown Nenek,Beragam peristiwa terjadi di Jabar hari ini. Mulai dari wanita muda Cianjur smackdown sang nenek hingga bendahara desa di Tasik gelapkan uang untuk judi online.
Duh! Sejumlah Fasilitas di 'Maliboro' Tasik Banyak yang Rusak,"Pengunjung kawasan pedestrian Jalan Cihideung, Kota Tasikmalaya menyesalkan banyaknya bagian jalan yang rusak."
Jogja Disebut Jadi Barometer Politik Nasional karena Figur Sultan HB X,Lembaga Kolasse menyebut DIY masih menjadi barometer politik nasional. Hal ini terkait dengan figur Gubernur DIY Sultan Hamengku Buwono X.
Survei Kolasse: Prabowo Paling Dikenal di Jogja-Ganjar Paling Disukai,Lembaga Kolasse merilis survei terbaru soal tokoh di Pilpres 2024. Hasilnya Prabowo Subianto paling dikenal di Jogja tapi Ganjar Pranowo yang paling disukai.
"Survei SPIN: Duet Prabowo-Ganjar 63,3%, Prabowo-Erick 60,9%",Nama Prabowo Subianto menang telak jika dipasangkan dengan Erick Thohir atau Ganjar Pranowo dalam hasil survei lembaga SPIN.
"Ridwan Kamil Temui PWNU Terkait Bantuan Rp 1 Triliun, Ini Hasilnya",Gubernur Jawa Barat Ridwan Kamil telah memenuhi undangan pengurus PWNU Jabar untuk menjelaskan soal bantuan Rp 1 triliun yang memicu polemik.
Survei SPIN: Erick Thohir Cawapres Teratas Disusul RK hingga AHY,Lembaga SPIN mengeluarkan hasil survei terkait elektabilitas bakal cawapres 2024. Eelektabilitas Erick Thohir menempati posisi pertama disusul Ridwan Kamil.
Hasil Pertemuan Ridwan Kamil dan PWNU Soal Polemik Bantuan Rp 1 T,Ridwan Kamil mendatangi kantor PWNU untuk menjelaskan bantuan sehingga Rp 1 triliun kepada warga NU selama menjabat sebagai gubernur.
"Survei SPIN: Prabowo Teratas Trennya Naik, Ganjar-Anies Isi 3 Besar",Lembaga SPIN mengeluarkan hasil survei terkini terkait elektabilitas bakal capres 2024. Elektabilitas Prabowo Subianto menempati posisi pertama.
'Magnet' Makam Eril Hingga Kucing 'Penjaga' yang Setia,Meninggalnya Emmeril Kahn Mumtadz masih menyisakan duka bagi banyak orang. Peziarah terus berdatangan ke pemakaman untuk mendoakan Eril.
"18 Tempat Wisata Gratis di Bandung, Bikin Senang Tanpa Perlu Keluar Uang",Ada banyak tempat wisata gratis di Kota Bandung yang bisa kamu kunjungi. Enggak ada tiket yang perlu dibeli untuk masuk ke tempat wisata ini. Apa saja?
"Latto-latto Lagi Viral, Begini Sejarah, Cara, dan Tips Aman Mainnya","Latto-latto merupakan mainan viral yang banyak digandrungi oleh masyarakat, khususnya anak-anak. Simak tips aman mainnya di sini."
Ridwan Kamil Malam Tahun Baru di Gedung Sate Bandung,Gubernur Jawa Barat Ridwan Kamil berencana menghabiskan waktu malam tahun baru 2023 di kantornya di Gedung Sate.
Mengintip Spesifikasi Bus Listrik Bekas KTT G20 yang Kini Digunakan di Bandung,Pemerintah Provinsi Jawa Barat resmi mengoperasikan sebanyak 8 unit bus listrik bekas KTT G20 2022 Bali. Bus listrik itu akan digunakan di Bandung.
Ridwan Kamil Jelaskan soal Bantuan Rp 1 Triliun ke PWNU Jabar,Gubernur Jawa Barat Ridwan Kamil mendapat protes dari PWNU Jabar soal klaim bantuan Rp 1 triliun. Ridwan Kamil pun memberikan penjelasan.
"Dear Wargi Jabar, Ada Pesan dari Ridwan Kamil soal Malam Tahun Baru",Gubernur Jawa Barat Ridwan Kamil meminta warganya untuk merayakan malam pergantian tahun di rumahnya masing-masing.
Jabar Hari Ini: Bujuk Rayu PAN untuk Gaet Ridwan Kamil,"Beragam peristiwa terjadi di Jabar. Dari kebocoran pipa gas pendingin di gedung milik Susi Pudjiastuti, hingga PAN rayu Ridwan Kamil untuk gabung partai."
